dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg,family,p_median,sd_test_rss,gamma_median
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Parametric continuous p,,,,,0.6826158439239841,40.31626324214709,parametric_continuous_p,0.6266659924989997,0.13127757895832828,-0.5944826758071389
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Parametric p=0 (Logarithmic),,,,,0.7299204509133936,42.560584803847135,parametric_fixed_p,0.0,0.07333834722706539,-1.764048175912862
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Parametric p=1 (Archimedean),,,,,0.7865236337658001,44.18863760862651,parametric_fixed_p,1.0,0.08501721371872767,-3.0107058538806246
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Parametric p=2 (Fermat),,,,,0.7549558632945569,42.72032813124271,parametric_fixed_p,2.0,0.11903143087278883,-0.800958591243948
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Parametric continuous p,,,,,0.7689416903787564,44.052283446472295,parametric_continuous_p,0.15362056788938686,0.08697373610444965,-1.6744509854999003
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Parametric p=0 (Logarithmic),,,,,0.7375283252388253,43.114317213486736,parametric_fixed_p,0.0,0.11931332995082432,-0.32035785774004233
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Parametric p=1 (Archimedean),,,,,0.7150108139468181,42.15797079489687,parametric_fixed_p,1.0,0.11599157155925328,-1.4543043299853136
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Parametric p=2 (Fermat),,,,,0.7324727479849322,42.47239750602785,parametric_fixed_p,2.0,0.14280353739018212,0.003609339485510051
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Parametric continuous p,,,,,0.7349072785302896,42.75376983881697,parametric_continuous_p,0.8532282002676962,0.12952823370827207,-1.2968281423912829
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Parametric p=0 (Logarithmic),,,,,0.8445277409539644,45.59698816686429,parametric_fixed_p,0.0,0.25253497379085654,1.0549407329416842
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Parametric p=1 (Archimedean),,,,,0.7939287551866572,43.695947789722965,parametric_fixed_p,1.0,0.2777702903852817,0.19675024346609016
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Parametric p=2 (Fermat),,,,,0.7894279314911364,43.65346002513833,parametric_fixed_p,2.0,0.25327692872968594,-1.5515574551827565
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Parametric continuous p,,,,,0.8954025865098515,47.17413297733568,parametric_continuous_p,-0.999,0.2707160294214546,-0.00038112630304376616
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Parametric p=0 (Logarithmic),,,,,0.9025790111927232,47.93476164922758,parametric_fixed_p,0.0,0.1747222426324437,-1.1376580334368929
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Parametric p=1 (Archimedean),,,,,0.8810422017684605,47.36466880977974,parametric_fixed_p,1.0,0.2760605403117075,-0.09437215968517855
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Parametric p=2 (Fermat),,,,,0.9078919263995487,47.894282934824986,parametric_fixed_p,2.0,0.2880173057144077,3.1294555013439425
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,136,Parametric continuous p,,,,,0.8725465355204889,46.24366706031775,parametric_continuous_p,-0.999,0.2077219041121781,1.5986719017267446
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Parametric p=0 (Logarithmic),,,,,0.6903128329663366,40.48894011806989,parametric_fixed_p,0.0,0.13463198845708377,-1.8042465031097357
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Parametric p=1 (Archimedean),,,,,0.7080851539912483,40.78670784617701,parametric_fixed_p,1.0,0.1304092105978049,0.320366324017188
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Parametric p=2 (Fermat),,,,,0.6937652129785004,40.32132647981554,parametric_fixed_p,2.0,0.11869823405894159,0.7147332573790481
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,105,Parametric continuous p,,,,,0.6541852895737525,39.340766999418115,parametric_continuous_p,-0.999,0.18574053135539975,1.5540336414711424
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Parametric p=0 (Logarithmic),,,,,0.6352246587198606,38.21653900265435,parametric_fixed_p,0.0,0.15156805739590887,1.499267547388113
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Parametric p=1 (Archimedean),,,,,0.6352170611773278,38.19364422615358,parametric_fixed_p,1.0,0.1545599817875799,-2.001597736318358
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Parametric p=2 (Fermat),,,,,0.6669973012697461,39.04515181166687,parametric_fixed_p,2.0,0.14495719335666468,0.25883699906730734
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,103,Parametric continuous p,,,,,0.678875286903734,39.676480924095664,parametric_continuous_p,2.9313797423057775,0.14964398562473696,0.08051722533076537
